User ID,Time (UTC),Publisher Category,Gender,Age,Geography,Urban Density,Income,Parental Status,Weight,Question #1 Answer,Question #2 Answer 1: Using sacred plants or other drugs,Question #2 Answer 2: Fasting,Question #2 Answer 3: Being outdoors in nature,"Question #2 Answer 4: Prayer, meditation, or contemplation","Question #2 Answer 5: Religious ceremony, practice, or ritual",Question #2 Answer: None of the above,Response Time #1,Response Time #2
243759872,2015-02-20 15:01:28,Mobile App,Female,25-34,US-NORTHEAST-MA,Suburban,"$75,000-$99,999",Unknown,1.2101714,Yes,,,,,,None of the above,4963ms,13071ms
1887818791,2015-02-20 15:01:32,Reference,Female,18-24,US-NORTHEAST-NY-New-York,Urban,"$25,000-$49,999",Unknown,0.9334339,Yes,,,,,,None of the above,12035ms,15590ms
2058917564,2015-02-20 15:01:31,Mobile App,Male,18-24,US-MIDWEST-IL,Suburban,"$150,000+",Unknown,0.7985643,Yes,Using sacred plants or other drugs,,Being outdoors in nature,,"Religious ceremony, practice, or ritual",,5388ms,13990ms
1758279355,2015-02-20 15:01:31,Mobile App,Female,18-24,US-SOUTH-OK,Suburban,"$25,000-$49,999",Unknown,1.5913136,Yes,,,Being outdoors in nature,,,,11939ms,14372ms
692451135,2015-02-20 15:01:24,Mobile App,Female,25-34,US-NORTHEAST-NY,Suburban,"$0-$24,999",Unknown,1.2101714,Yes,,,Being outdoors in nature,,,,4463ms,6777ms
1958063308,2015-02-20 15:01:33,Mobile App,Female,25-34,US-SOUTH-FL,Suburban,"$75,000-$99,999",Unknown,1.8975304,Yes,,,,"Prayer, meditation, or contemplation","Religious ceremony, practice, or ritual",,5600ms,10396ms
1889775044,2015-02-20 15:01:39,Mobile App,Male,25-34,US-WEST-WA,Urban,"$50,000-$74,999",Unknown,0.9859349,Yes,,,,"Prayer, meditation, or contemplation",,,19828ms,15413ms
13354053,2015-02-20 15:01:39,News,Male,45-54,US-MIDWEST-IL,Urban,"$50,000-$74,999",Unknown,0.5299888,Yes,,,,,,None of the above,113422ms,14634ms
1609540804,2015-02-20 15:01:45,Mobile App,Female,45-54,US-SOUTH-SC,Suburban,I prefer not to say,Unknown,1.7068988,Yes,,,,"Prayer, meditation, or contemplation",,,10495ms,15707ms
1308402096,2015-02-20 15:01:47,Mobile App,Female,25-34,US-SOUTH-TN,Rural,"$50,000-$74,999",Unknown,1.8975304,Yes,,,,,"Religious ceremony, practice, or ritual",,8326ms,9075ms
1288084435,2015-02-20 15:01:44,Mobile App,Female,35-44,US-WEST-WA,Urban,"$50,000-$74,999",Unknown,2.0138004,Yes,,,,,,None of the above,8395ms,5175ms
809259432,2015-02-20 15:01:54,Mobile App,Male,25-34,US-MIDWEST-MN,Rural,"$75,000-$99,999",Unknown,0.8893823,Yes,,,,,,None of the above,21938ms,14917ms
721271109,2015-02-20 15:01:42,Mobile App,Female,18-24,US-SOUTH-SC,Rural,"$0-$24,999",Unknown,1.5913136,Yes,,Fasting,,,"Religious ceremony, practice, or ritual",,36095ms,2479ms
1366080099,2015-02-20 15:02:03,Mobile App,Female,25-34,US-WEST-WA,Rural,"$25,000-$49,999",Unknown,1.6425456,Yes,,,Being outdoors in nature,,,,7782ms,14538ms
958568925,2015-02-20 15:02:13,Mobile App,Male,25-34,US-SOUTH-AL,Rural,"$25,000-$49,999",Unknown,1.1391599,Yes,Using sacred plants or other drugs,,,,,,7973ms,24526ms
1344038135,2015-02-20 15:02:06,Mobile App,Female,35-44,US-SOUTH-TN,Rural,"$25,000-$49,999",Unknown,1.6998464,Yes,,,,"Prayer, meditation, or contemplation",,,6432ms,16748ms
2071852995,2015-02-20 15:02:14,Mobile App,Male,18-24,US-NORTHEAST-NY,Suburban,"$100,000-$149,999",Unknown,0.6944982,Yes,,,Being outdoors in nature,,,,11738ms,24359ms
